M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
32768,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
32768,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
32768,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
32768,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
32768,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
32768,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False
5,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
5,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
5,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
5,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
5,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
5,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
1,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
1,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7237,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7237,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7237,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7237,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7237,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7237,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
5,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False
6,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False
13795,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
13795,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
13795,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
13795,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
13795,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
13795,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
16,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
16,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False
15,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
15,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
15,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
15,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
15,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
15,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
15,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False
7104,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7104,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7104,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7104,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7104,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7104,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6640,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6640,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6640,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6640,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6640,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6640,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6727,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6727,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6727,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6727,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6727,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6727,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
8177,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
8177,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
8177,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
8177,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
8177,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
8177,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7402,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7402,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7402,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7402,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7402,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7402,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7090,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7090,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7090,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7090,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7090,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7090,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7398,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7398,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7398,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7398,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7398,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7398,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
14,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
14,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
14,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
14,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
14,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
14,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
14,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False
13955,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
13955,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
13955,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
13955,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
13955,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
13955,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6668,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6668,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6668,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6668,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6668,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6668,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7529,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7529,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7529,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7529,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7529,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7529,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7308,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7308,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7308,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7308,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7308,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7308,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
8008,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
8008,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
8008,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
8008,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
8008,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
